nomacheteur,records
GMVA 56,47
DDT d'Angers,46
INSEE,46
Vannes Golfe Habitat,46
Commune de La Tranche-sur-Mer,46
DRAC Pays de la Loire,46
Ville d'Ecouflant,46
Centre hospitalier de saint-malo,46
METEO FRANCE,46
SEPASE,46
CC LOIR LUCE BERCE,46
CA du Pays de Dreux,46
Spl Sonadev Territoires Publics,46
Ville de Pont-Audemer,45
Communauté urbaine de Cherbourg,45
Cté de Cnes du Pays de Falaise,45
MINDEF/SGA/SPAC/S-Direction des achats,45
Agrocampus Ouest,45
C.H.S. de la Sarthe,45
Ville de Lanester,45
Cté d'agglo Saumur Loire Développement,45
La Roche-sur-Yon Agglomération,45
Commune de Mordelles,45
Lycee Claude Monet,45
CNFPT - INSET d'Angers,45
Ville de Vertou,45
Musée des Impressionismes Giverny,45
VILLE DE BLANGY-SUR-BRESLE,45
MINDEF/EMA/SCA/PFAF-IDF,45
Ville de Palaiseau,45
GIE des EPL de Vendée,45
AGCE POUR L ENST FR A L ETRANGER,45
CA LISIEUX NORMANDIE,45
Commune de VAL-DE-REUIL,45
Ville de Saint Jacques de la Lande,45
Etablissement public Mont-Saint-Michel,45
Angers Loire Restauration,45
Grand Lieu Communauté (44),45
Ville Perros Guirec,45
SDIS76 - Service Départemental d'Incendie et de Secours de la Seine-Maritime,45
CHU Rouen Normandie,45
URSSAF des Pays de la Loire,44
Centre hospitalier de St - Brieuc,44
Commune de Ploemeur,44
CC Saint Méen Montauban,44
Agence Régionale de Santé,44
Cté de Cnes de Neufchâtel en Bray,44
Ville de Parthenay,44
CCAS de Rennes,44
CC SOMME SUD OUEST,44
Territoire d'Energie Orne,44
COMMUNE DE SAINT AUBIN LES ELBEUF,44
Agence nationale cohésion territoires,44
Hôpital Paul Doumer,44
CC Auray Quiberon Terre Atlantique,44
Ville de Rezé,43
DDTM-29,43
Ville de Mayenne,43
Ville de Guerande,43
Chambre Agriculture Pays de la Loire,43
Commune Olonne sur Mer,43
CENTRE HOSPITALIER GENERAL DE DIEPPE,43
Com Com Caux Estuaire,43
SMICTOM DES PAYS DE VILAINE,43
Brest'aim,43
COM DE COMMUNES FALAISES DU TALOU,43
SADIV,43
GROUPEMENT CENOVIA - TRANSAMO,43
Commune,43
Rennes School of Business,43
Maine-et-Loire Habitat,43
Communauté de communes Terres d'Argentan Interco,43
SDOMODE,43
Communauté de communes du Sud Estuaire,43
MINARM/SCA/PFC BREST,43
SECOMILE,42
Commune de Languidic,42
CROUS de Haute-Normandie,42
COMMANDES PUBLIQUES 22,42
OPH Emeraude Habitation,42
ville de donges,42
Communauté de communes Roche aux fées,42
Commune de SOULLANS,42
Caf de la Sarthe,42
Carsat Bretagne,42
COMMUNAUTE LESNEVEN CÔTE DES LEGENDES,42
COMMUNE DE LA TRANCHE SUR MER,42
COMMUNE DE SAVIGNE L EVEQUE,42
SAEDEL,42
SPL EXPLOITATION PORTUAIRE MANCHE,42
SEM CENOVIA,42
CMAR Bretagne,42
SDEC Energie,42
Centre Hospitalier de Vire,41
SMIRGEOM Est Sarthe,41
CCI du Morbihan,41
SAEM Vendée,41
Cté de Com de Haute Cornouaille,41
Ville de Valery en Caux,41
DRFIP 35,41
SOC PUBLIQUE REG ABE DE FONTEVRAUD,41
SA D HLM D ARMORIQUE,41
POLE EMPLOI,41
SPL Laval Mayenne Aménagements,41
Ville de Fécamp,41
Pays de Saint Gilles Croix de Vie Agglomération (85),41
CHU RENNES,41
Ville de Saint Aubin les Elbeuf,40
Caisse des dépôts,40
Commune de la Chevrolière,40
Communauté Urbaine de Cherbourg,40
CHU de Rennes,40
Ministères économiques et financiers,40
lycée de Narcé,40
SIAEPA O2 BRAY,40
COMMUNAUTE COMMUNES HUISNE SARTHOISE,40
Roi Morvan Communauté,40
SOTRAVAL SPL,40
Ville DE SAINT BREVIN,40
Ville de Falaise,40
MAIRIE DE DOL DE BRETAGNE,40
Ville de Trouville-sur-Mer,40
Mairie de Clisson,40
SDIS DE LA MANCHE,40
Semitan,40
Institut Polytechnique UniLaSalle,40
Chambre de Métiers et de l’Artisanat de Région Bretagne,40
SMICTOM du Pays de Fougères,39
SEMTCAR,39
"Cté Commune Granville, Terre et Mer",39
Cté de Cnes des Alpes Mancelles,39
Min.Défense-DCSID-SNIA,39
Cté de Communes du Pays de Redon,39
Centre Hospitalier de Saint-Malo,39
Syndicat Mixte du Sud Est Vendéen pour,39
Blangy Pont l'Evêque Intercom,39
Département de la SEINE-MARITIME,39
Ville de Chantepie,39
Trélazé,39
Commune de Landéda,39
SAPL Angers Loire Restauration,39
ville de Perros-Guirec,39
Syndicat Mixte Atlantic'eau,39
GRAND PORT FLUVIO-MARITIME DE L'AXE SEINE - DIRECTION TERRITORIALE DU HAVRE,39
SMEDAR - Syndicat Mixte d'Elimination des Déchets de l'Arrondissement de Rouen,39
Commune de Cherbourg Octeville,38
CPAM de Loire-Atlantique,38
Office Public de l'Habitat,38
Mairie de Varades,38
Sirtom de la Région Flers-Condé,38
VILLE DE LA BAULE-ESCOUBLAC,38
CCIT Eure,38
Chambre Régionale Métiers Artisanat HN,38
CC CHALLANS GOIS COMMUNAUTE,38
TERROIR DE CAUX,38
CC Pays Fouesnantais,38
Commune d'Avrillé,38
Communauté de Communes Vendée Grand Littoral (85),38
Sdec Energie,38
COMMUNE DE PETIT-CAUX,38
CHU ROUEN,38
Siaepa du Crevon,37
DRAC Haute-Normandie,37
MAIRIE DE DUCLAIR,37
Conseil Général de la Seine-Maritime,37
Centre Hospitalier,37
Lycée Jehan Ango,37
Baie d'Armor Transports,37
Fougères Agglomération,37
COMMUNE DE CONCHES EN OUCHE,37
COMMUNE DE DEVILLE LES ROUEN,37
CAISSE PRIMAIRE ASSUR MALADIE MAINE LO,37
INST NAL RECHERCHES ARCHEOLOGIQUES PRE,37
SOCLOVA,37
Caux Seine agglo,37
Communauté de Communes du Pays Fléchois,37
SDIS44,37
CA CAUX SEINE AGGLO,37
Institut national des sciences appliqu,36
SGAP OUEST,36
cc pays de loué vegre champagne,36
DOUARNENEZ COMMUNAUTE,36
GIP RESTAURATION COLLECTIVE CM,36
CC du Pays de Châteaugiron,36
Ville de Guipavas,36
EPSM de la Sarthe,36
BATIMENT CFA BRETAGNE,36
Aubigny Les Clouzeaux,36
Région de gendarmerie de Bretagne,36
GIE FONTEVRAUD,36
GIP SILGOM,36
Université de Rouen-Normandie,36
Chambre d'agriculture de région Pays de la Loire,36
CPAM Saint Lô,35
Ville d'Ifs,35
Communauté d'Agglomération de Saintes,35
Cercle de la base de défense de Brest,35
OPAC de Quimper Cornouaille,35
Caisse d'Allocations Familiales d'Ille,35
SIAEPA Les 3 Sources,35
Ville de Bonsecours,35
MAIRIE DE BAUGE EN ANJOU,35
EPAMSA,35
COMMUNE DE FLERS,35
COMMUNE D EU,35
ORNE HABITAT,35
TRANSAMO,35
CC Loire Layon Aubance,35
SM Manche Numérique,35
Communauté d'Agglomération de la Région Dieppoise,35
Ville de La Roche sur Yon (85),35
Mairie de Pornic,35
PRECOVAL,35
SIDAEP des Mauges et de la Gatine,34
Ville de Gasny,34
SEMAEB pour le Cseil Rég de Bretagne,34
Ville de Franqueville Saint Pierre,34
Ville de Senlis,34
MAIRIE DE LA CHAPELLE SUR ERDRE,34
Centre de Gestion FPT Loire-Atlantique,34
Ville de Flers,34
Lycée Chevrollier,34
Rectorat de l'Académie de Rouen,34
Saint Philbert de Bouaine,34
Mairie du croisic,34
CREPS des Pays de la Loire,34
Ville de Luc sur Mer,34
SPM/DDTM44,34
Ville de St Rémy sur Avre,34
COMMUNE DE CAMARET SUR MER,34
COMMUNE DE PALUEL,34
CNRS DR17 Bretagne et Pays de la Loire,34
COMMUNE DE L AIGLE,34
GPT COOPERATION SOC MEDICO SOC ESTUAIR,34
Ville de Montaigu-Vendée,34
Ville de LE POULIGUEN,34
CHI ELBEUF LOUVIERS VAL DE REUIL,34
Coutances mer et bocage,34
Communauté de Communes Sud Vendée Littoral,34
CA LAMBALLE TERRE ET MER,34
Syndicat Département d'Energie de la Seine-Maritime,34
Etablissement public de santé,34
DREAL NORMANDIE,34
REDON AGGLOMERATION,34
CHI Pays des Hautes Falaises Fécamp,33
MINDEF/DGA/DT/SCAT,33
Nantes Métropole Amenagement,33
MSA Loire-Atlantique - Vendée,33
commune de Le Pellerin,33
Cté de cnes de Belle-île-en-mer,33
SOTRAVAL GIE,33
Sces Commun Cité Scolaire de Kerichen,33
CdC Sud Est du Pays Manceau,33
UC-IRSA,33
"syndicat des bv saane, vienne et scie",33
GROUPEMENT D'INTERET PUBLIC ARRONAX,33
Agence française pour la biodiversité,33
SYNDICAT DEP D ENERGIES DU MORBIHAN,33
COMMUNAUTE DE COMMUNES DES COEVRONS,33
COMMUNE DE VAL DE REUIL,33
SBV CAILLY AUBETTE ROBEC,33
Mairie de Plérin,33
Sdis76 - Service Départemental d'Incendie et de Secours de la Seine-Maritime,33
Mairie Elbeuf Sur Seine,33
CHU DE RENNES,33
"Terres de Montaigu, Communauté d'Agglomération (85)",33
SPL Destination Les Sables d'Olonne (85),33
Région Pays de la Loire,33
Mairie d'Evreux,33
Centre hospitalier de Vitré,32
Centre Hospitalier Côte de Lumière,32
GCS HACOM,32
Commune de Basse-Goulaine,32
AGENCE DE SERVICES AUX COLLECTIVITES,32
Ville d'Auvers le Hamon,32
COM.DE COMMUNES DE QUESTEMBERT,32
Ville de Chambly,32
Ville de Talmont Saint Hilaire,32
Ville de Le Pouliguen,32
Communauté de Communes du Sud-Estuaire,32
SYMORESCO,32
office de tourisme cvs,32
SMISMB,32
Communauté de Communes Vie et Boulogne,32
Territoires et développement,32
SPL RNS,32
Nantes Métropole Habitat,32
EPCC CHEMINS DU PATRIMOINE,32
Ecole nationale vétérinaire d'Alfort,32
AD Normandie,32
DIR INTERREGIONALE MER NORD ATLANTIQUE,32
COMMUNE DE BEUZEVILLE,32
PREFECTURE DE LA REGION DE BRETAGNE,32
COMMUNE DE SAINT MARCEL,32
COMMUNE DE GOURNAY EN BRAY,32
COMMUNE DE PONT L ABBE,32
Commune de Barentin,32
Commune de Cesson-Sévigné,32
GIP LABEO (14),32
Syndicat Départemental d'Energie et d'Equipement de la Vendée (85),32
CHU de Brest,32
TRANSAMO MANDATAIRE DE LA COMMUNAUTE URBAINE CAEN LA MER,32
CENTRE HOSPITALIER DU CENTRE BRETAGNE,32
Ville de Trelaze,31
CCAS,31
Département de Seine-maritime,31
CCHPB,31
DGFIP-Bureau BP2C,31
Ecole des Mines de Nantes,31
USSIVA,31
EPIDE,31
Syndicat Interhospitalier Tregor Goelo,31
COMMUNE LE LUDE,31
CCAS Brest,31
CC du Pays Fouesnantais,31
DDTM 50,31
CC du Pays des Achards,31
COMMUNE DE CLEON,31
SYNDICAT TRAITEMENT DECHETS MENAGERS,31
COM DE COMMUNES CAUX AUSTREBERTHE,31
CAISSE DES DEPOTS,31
C.N.R.S.,31
Ca du Pays de Dreux,31
COMMUNAUTE D'AGGLOMERATION DU PAYS DE LANDERNEAU-DAOULAS,31
Ville de Saumur (49),31
COMMUNE DE GONFREVILLE L ORCHER,31
Conseil Général de la Mayenne,30
Altantic'eau,30
Centre Hospitalier de Châteaubriant,30
ARE Bordeaux,30
Seine-Maritime Numerique,30
Ville de Déville lès Rouen,30
Centre hospitalier A.Guérin,30
ville de Sainte-Luce-sur-Loire,30
Communauté de Com. Coeur Cote Fleurie,30
Mairie d'Etrépagny,30
DCSID,30
Ville de Quiberon,30
Syctom du Loire Béconnais,30
Centre Hospitalier de Falaise,30
Chambre Régionale Métiers Artisanat B,30
Telecom Bretagne,30
CCAS d'Evreux,30
MAIRIE DE TREILLIERES,30
Syndicat Mixte du Bassin de la Dives,30
EPL CHOLET SPORTS LOISIRS,30
CDG de la FPT Seine Maritime (76),30
ECOLE CENTRALE DE NANTES,30
CC VALLEES DE L ORNE ET DE L ODON,30
CTRE DE GEST FONCTION PUB TERRITORIALE,30
Ville des Sables d'Olonne,30
Communauté de Communes Côte d'Emeraude,30
COMMUNAUTE DE COMMUNES FALAISES DU TALOU,30
Ville de La Baule Escoublac,30
Syndicat départemental d'énergie et d'équipement du Finistère,30
CONCARNEAU CORNOUAILLE AGGLOMERATION,30
Ville de VERTOU,30
Ville de Saint Gilles Croix de Vie (85),30
VILLE DE LAVAL,30
CCI Caen Normandie,30
Com. d'Agglomération du Pays de Flers,29
CHS Navarre,29
Rectorat de l'Académie de Rouen-IRE,29
IGESA,29
Commune de Caudan,29
Ville de verneuil sur seine,29
EHPAD DU HAUT LEON,29
COMMUNE DE MONTOIR DE BRETAGNE,29
SA D ECONOMIE MIXTE IMMOB DE NORMANDIE,29
CC VENDEE GRAND LITTORAL,29
ANGERS LOIRE TOURISME EXPO CONGRES,29
COMMUNE DU CROISIC,29
Montfort Communauté,29
VILLE D'EVREUX,29
Ville de Plaisir,29
Commune d'Oissel Sur Seine,29
Ville de Talmont - Saint Hilaire (85),29
Communauté d'Agglomération Seine Normandie Agglomération (27),29
Pays de Châteaugiron Communauté,29
Collectivité territoriale,29
Communauté de Communes Côte Ouest Centre Manche,29
CHU DE BREST,29
Eure Amenagement Developpement,29
Communauté de communes du Pays de Falaise,29
Conseil général de l'Orne,28
Commune d'Olonne sur Mer,28
DREAL Basse-Normandie,28
DIRM MEMN,28
Ville de Pont l'Evêque,28
Urssaf d'Ille-et-Vilaine,28
Ville de Lannion,28
MSA Haute Normandie,28
CPAM du Morbihan,28
SONADEV TERRITOIRES PUBLICS,28
GIE HAROPA,28
Ministère de l'agriculture,28
Ville de Fouesnant,28
Syndicat Interhospitalier (SILGOM),28
Commune de Gouesnou,28
Ville de Paimpol,28
SAEPA du Bray Sud,28
SAIEM AGIRE,28
Université de La Rochelle,28
CC COTE OUEST CENTRE MANCHE,28
LES ATELIERS DES CAPUCINS,28
Commune de Bruz,28
SEML ENERGIES EN FINISTERE,28
Normand'e-santé,28
Commune d'Allonnes,28
CC PONTHIEU MARQUENTERRE,28
Communauté communes Pays Landivisiau,28
LABEO,28
UGECAM Bretagne Pays de La Loire,28
UNIVERSITE DE RENNES,28
Commune de Saint Jean de Monts (85),28
"Semitan, mandataire de Nantes Métropole",28
EPF Normandie,28
Autorité locale,28
MAIRIE DU TREPORT,28
Communauté de communes Intercom de la Vire au Noireau,28
Commune du Croisic,28
Conseil Départemental de l'Orne,28
Hôpitaux du Sud Manche,28
VILLE D'EU,27
Centre Hospitalier de Guingamp,27
Commune de Mouilleron le Captif,27
Mission Val de Loire (Syndicat Mixte I,27
Ville de Trouville sur Mer,27
MSA Mayenne Orne Sarthe,27
CMAR PAYS DE LA LOIRE,27
Ville de Courseulles sur Mer,27
Cté de Cnes du Pays de Montfort,27
COMMUNAUTE de COMMUNES des COEVRONS,27
Centre Hospitalier Spécialisé de Blain,27
COMMUNE DE BEAUPREAU EN MAUGES,27
SIAEPA de la Région de Doudeville,27
INSTITUT 4.10,27
CCAS de Cherbourg-en-Cotentin,27
MAIRIE DE BRISSAC-QUINCE,27
DIR REG ENVIR AMENAGEMENT LOGT BRETAGN,27
COM DE COMMUNES DU PAYS DES ABERS,27
CC Presqu'ile Crozon Aulne Maritime,27
COM DE COMMUNES ARC SUD BRETAGNE,27
Cci du mans et de la sarthe,27
NORMANDIE EQUINE VALLEE,27
Ville de Saint-Lô,27
Golfe du Morbihan - Vannes agglomération,27
Ville de Saint-Pierre-lès-Elbeuf,27
Chambre de Commerce et d'Industrie Territoriale Seine Estuaire,27
SPL LE MANS EVENEMENTS,27
GIP LABÉO,26
Commune d'Ivry la Bataille,26
DSNA,26
Amiens Métropole,26
Rectorat d'Académie de Rennes,26
Commune de Saintes,26
MINDEF / EMA / DC SCA / PFAF SE,26
ARE Amiens,26
SMAEPA de la Région d'Yerville,26
CENTRE HOSPITALIER MAZURELLE,26
SICTOM Loir et Sarthe,26
Commune de Pont-Péan,26
Ville de Betton,26
Lycée Malherbe,26
Conseil d'Etat,26
SGAMI OUEST BZAMP,26
SIEMOR,26
COMMUNE DE BEAUFORT EN ANJOU,26
CHAMBRE COMMERCE ET INDUSTRIE MORBIHAN,26
UniHA GCS,26
Ville de Montigny le Bretonneux,26
ECOLE NATIONALE D INGENIEURS DE BREST,26
NORMANDIE UNIVERSITE,26
CC ISIGNY OMAHA INTERCOM,26
S I REST COLLECTIVE ROUEN BOIS GUILLAU,26
ATIGIP SEP,26
VILLE DE GONFREVILLE L'ORCHER,26
3RD'ANJOU,26
Pays de Blain Communauté,26
TERRITOIRE ENERGIE LOIRE ATLANTIQUE,26
La Roche sur Yon Agglomération (85),26
Communauté de communes des Coëvrons (53),26
Trajectoires,26
CHU CAEN NORMANDIE,26
Ville de Cabourg,26
Hôpital du Baugeois et de la Vallée,25
EPSM Jean-Martin Charcot,25
Cté cnes du Pays de Château de Gontier,25
CNAF,25
Centre Hospitalier du Nord Mayenne,25
Commune de l'Etang-Salé,25
COM DE COMMUNES DU MONT DES AVALOIRS,25
Pré Bocage Intercom,25
CC ANJOU BLEU COMMUNAUTE,25
SYND D EAU ROUMOIS PLAT NEUBOURG SERPN,25
COMMUNE DE BOUAYE,25
Science Action Normandie,25
MASH,25
ARS NORMANDIE,25
SGAMI Ouest,25
Service départemental d'incendie et de secours de l'Eure,25
CC PLEYBEN-CHATEAULIN-PORZAY,25
DGA/DT/SCAT Val de Reuil,24
Chartres Aménagement,24
CHG Pierre-Le-Damany - Lannion Trestel,24
E.N.I.M.,24
MINDEF/AA/SIAE/AIA BRETAGNE,24
SAEP RISLE ET PLATEAUX,24
A.P.I.J.,24
Syndicat Mixte Transmanche,24
Cté de Cnes Loire et Sillon,24
Ville de Bayeux,24
Comité régional tourisme Bretagne,24
Ville de Darnétal,24
Ville de Pacé,24
Commune de Quincampoix,24
SEMAEB,24
ANGERS NANTES OPERA syndicat mixte,24
PREFECTURE DE L ORNE,24
PREFECTURE DE LA SEINE MARITIME,24
syndicat mixte du val de loir,24
CAISSE PRIMAIRE ASSUR MALADIE ROUEN EL,24
Commune de Sèvremoine,24
CDC Cingal-Suisse Normande,24
Commune du Cellier,24
CDC TERROIR DE CAUX,24
Terres de Montaigu Cté d'agglomération,24
Redon Agglomeration,24
Syndicat d'Eau de l'Anjou (49),24
Santé,24
Mairie de Thouaré-sur-Loire,24
Loire-Atlantique développement - SPL,24
Lamballe Terre & Mer Agglomération,24
VILLE DE QUIMPER,24
CHRU BREST,24
CHU D'ANGERS,24
Communauté de Communes Pays de Fontenay-Vendée,24
AUDENCIA EESC,24
CHU Caen Normandie,24
BrestPort,24
S.I. d' énergies de Maine et Loire,23
Nantes Habitat,23
SMAEPA de Sierville,23
Commune de Servon sur Vilaine,23
Cté de Communes du Bocage Mayennais,23
COMMUNE YVRE L'EVÊQUE,23
Commune La Suze sur Sarthe,23
Syndicat d'Energies du Morbihan,23
EPSM CAEN,23
Ville de Granville,23
PREFECTURE DU CALVADOS,23
communauté de communes Côte d'Emeraude,23
SMICTOM de Tinteniac,23
CAF SEINE-MARITIME,23
Commune de Benodet,23
B R G M,23
SIRCOB,23
Mairie de Savenay,23
Résidences du Val d'Oudon,23
Commune de Saint Méen le Grand,23
COMMUNE de VEXIN SUR EPTE,23
Préfecture région Haute-Normandie,23
Ville de Saint Grégoire,23
COMMUNE DE LES ANDELYS,23
COMMUNE DE ST PIERRE EN AUGE,23
Communauté de communes Pays Fléchois,23
CC DE CHAMPAGNE CONLINOISE PAYS SILLE,23
COMMUNE DE LE MESNIL ESNARD,23
Cté de Cnes Loire-Layon-Aubance,23
COMMUNE DE LA FERTE-BERNARD,23
DOMFRONT TINCHEBRAY INTERCO,23
Ville d'Ancenis-Saint-Géréon,23
Ville de Buc,23
VILLE DE COURDIMANCHE,23
VERIFICA,23
syndicat mixte des ports de L-A,23
CC LIFFRE CORMIER COMMUNAUTE,23
Ville de Gargenville,23
Com. de communes du Pays Houdanais,23
Eau du Pays de Saint-Malo,23
SOCIETE PUBLIQUE REGIONALE ABBAYE DE FONTEVRAUD,23
Communauté de communes Yvetot Normandie,23
Ville d'Angers Loire Metropole (49),23
CH de Cornouaille,23
Mairie de CANTELEU,23
Spl Cherbourg Port,23
COMMUNE DE GISORS,23
Grand port fluvio maritime de l'axe Seine - Siège,23
Service marché public,23
Ville de dol de bretagne,22
GIP Groupement Technocampus,22
Agence des aires marines protégées,22
Commune de Gainneville,22
IPHV LES HAUTS THEBAUDIERES,22
CCI de région Bretagne,22
Centre hospitalier de Bayeux,22
SIAEPA de Valmont,22
Mairie des Clayes Sous Bois,22
Mairie de Bernay,22
SEMINOR,22
Centre Hospitalier de Fougères,22
Communauté de Communes Arc Sud Bretagn,22
EPCC ESBANM,22
Ville d'Arnage,22
Cté communes Landivisiau,22
Lycée Nicolas Appert,22
Dinan Habitat,22
Cté Cne PontChâteau-St Gildas des Bois,22
Ville de Luçon,22
POLE EMPLOI BRETAGNE,22
SYND INTERCOMMUNAL ADDUCTION EAU POTAB,22
SIDEPAQ,22
Ville de Saint Calais,22
Ville de Plouzané,22
HLM Coutances-Granville,22
Musée national de la Marine,22
Laval Mayenne Aménagements,22
Chambre Agriculture de Bretagne,22
MEFI-MBCPFPRE,22
Commune Saint Philbert de Grand Lieu,22
ESPACIL HABITAT,22
SOC ECONOMIE MIXTE LOGEMENT DE EURE,22
COMMUNE DE MONT SAINT AIGNAN,22
Eau du Bassin Caennais,22
CCAS de Caen,22
Institut Polytechnique Unilasalle,22
ENSICAEN,22
Ville de La Roche-sur-Yon (85),22
Commune de Sablé-sur-Sarthe,22
Ville de NANTES,22
Brest'aim SEM,22
ROUEN HABITAT,22
Mairie de l’Ile d’Yeu,22
SERVICE PUBLIC DE L'EAU - AN DOUR,22
France Travail Normandie,22
Communauté de Communes du Pays de Conches,22
Conseil général du Finistère,21
Ministère de la justice,21
Commune de Cherbourg - Octeville,21
CPAM de la Sarthe,21
CARSAT PAYS DE LOIRE,21
Centre Hospitalier de Dieppe,21
Ville d' Alizay,21
MINDEF/SCA/CESCOF,21
ENSA de Normandie,21
Commune d'Envermeu,21
Centre Hospitalier de Redon,21
Ville de Scaër,21
Ville de Saint Brévin les Pins,21
APIJ,21
CCAS DE LA ROCHE-SUR-YON,21
VILLE DE DEAUVILLE,21
Bretagne Développement Innovation,21
SYND MIXTE MRAI ST JEAN MONTS BEAUVOIR,21
SE AEROPORTS RENNES ET DINARD (SEARD),21
Ville d'Aizenay,21
Commune de Beaupréau en Mauges,21
Les Franciscaines,21
Mairie de Guérande,21
CONSTRUCTYS,21
GIP Bretagne Santé Logistique,21
CENTRE HOSPITALIER LANNION - TRAVAUX,21
VALAÉ,21
BRETAGNE PORTE DE LOIRE COMMUNAUTE,21
Ville de Lagord,21
REGIE DIEPPOISE ACTS PORTUAIRES,21
Communauté communes Coutances mer et bocage,21
Service Départemental d'Incendie et de Secours des Côtes d'Armor (Sdis 22),21
REGIE DIEPPOISE DES ACTIVITES PORTUAIRES,21
Communauté de Communes Pays de Fontenay Vendée (85),21
Cté de Cnes du du Pays Bigouden Sud,21
COMMUNAUTE DE COMMUNES BAYEUX INTERCOM,21
Commune de SAINT BREVIN LES PINS,21
Office Français de la Biodiversité,21
Communauté de Communes Anjou Loir et Sarthe (49),21
Brest Metropole,21
CH de Bretagne Sud,20
D.I.S.P. Lille,20
COMMUNE DE PENVENAN,20
Commune de Saint Mars du Désert,20
Conseil général de l'Eure,20
Communauté de Communes de Criquetot,20
Mairie des Sables d'Olonne,20
Ville de Pluvigner,20
CH Ferdinand Grall-Hôpital Landerneau,20
Centre Hospitalier de Paimpol,20
Institution Medico Sociale de Bolbec,20
ARRADON,20
Ville de Connerre,20
Mairie de Vigneux de Bretagne,20
Préfecture de l'Eure,20
EPSM Morbihan,20
Ville de Noyal-Châtillon sur Seiche,20
Société Publique Locale Les Docks,20
MEEDDAT,20
Commune de Champagné,20
Groupement de Services,20
Commune de Cabourg,20
CdC des Sources de l'Orne,20
Ville de Changé,20
Syndicat Mixte Gestion Aéroport Rouen,20
SYND MIXTE OUVERT AMENAGEMENT GEST EAU,20
DIRECTION DEP TERRITOIRES MER,20
COMMUNE DE TERRES DE CAUX,20
COMMUNE DE CHARTRES DE BRETAGNE,20
COMMUNE DE BIHOREL,20
Université Paris 1 - Panthéon Sorbonne,20
COMMUNE DE BRETEUIL,20
Commune de DIVATTE SUR LOIRE,20
Cté de Communes Haute Sarthe Mancelles,20
CCI de Région Normandie,20
SMEACC,20
MAYENNE COMMUNAUTE,20
Ville de La Flèche,20
Commune de Montrevault sur Èvre,20
Ville des Sables d’Olonne,20
Ville de Vernon (27),20
Commune de La Tranche sur Mer (85),20
UGECAM BRPL,20
SERVICE DEPARTEMENTAL D'INCENDIE ET DE SECOURS DE MAINE ET LOIRE,20
Service Départemental d'Incendie et de Secours des Côtes d'Armor (SDIS 22),20
CENTRE HOSPITALIER DU MANS - Ets support du GHT 72,20
ENSAM,20
ACOSS,19
Ville d'equeurdreville-Hainneville,19
